Title,Publisher,Developer,Other Sales,Release Date,Last Update,Year
The Lost Child,NIS America,Crim,10000,2018-06-19,2018-09-20,2018.0
Winning Post 8 2015,Tecmo Koei,Koei Tecmo Games,30000,2015-03-12,2018-07-31,2015.0
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,Namco Bandai Games,Unknown,30000,2015-11-26,2018-06-18,2015.0
Dragon Quest X: All in One Package Ver.1-4,Square Enix,Square Enix,30000,2018-07-26,2018-09-15,2018.0
Samurai Warriors: Sanada Maru,Tecmo Koei,Omega Force,30000,2016-11-23,2018-07-09,2016.0
Yomawari: Midnight Shadows,NIS America,Nippon Ichi Software,30000,2017-10-24,2018-06-30,2017.0
Medabots Classics: Metabee Ver. / Rokusho Ver.,Imagineer,Imagineer,30000,2017-12-21,2018-01-07,2017.0
Nobunaga's Ambition: Tenshouki with Power-Up Kit HD Version,Tecmo Koei,Koei Tecmo Games,30000,2015-11-12,2018-07-31,2015.0
Azure Striker Gunvolt: Striker Pack,Yacht Club Games,Inti Creates,30000,2016-10-04,2018-04-26,2016.0
Death end re;QuestRead the review,Idea Factory,Compile Heart,30000,2019-12-01,2018-04-22,2019.0
Ukiyo no Roushi,Spike Chunsoft,Spike Chunsoft,30000,2015-02-11,2019-04-27,2015.0
Diabolik Lovers: More Blood,Idea Factory,Idea Factory,30000,2015-01-15,2018-02-21,2015.0
Dynasty Warriors 8: Empires,Tecmo Koei,Omega Force,30000,2015-11-26,2018-02-09,2015.0
Crows: Burning Edge,Namco Bandai Games,Bandai Namco Games,30000,2016-10-27,2018-09-20,2016.0
Onimusha: Warlords,Capcom,Capcom,30000,2019-01-15,2018-12-29,2019.0
River City Ransom SP,Arc System Works,Technos Japan Corporation,30000,2016-10-27,2018-04-24,2016.0
Aokana: Four Rhythm Across the Blue,Sprite,Sprite,30000,2020-08-21,2018-04-07,2020.0
Niko Puchi Girls Runway,Happinet,Happinet,30000,2015-12-10,2018-07-25,2015.0
Doraemon: Nobita no Takarajima,FuRyu Corporation,FuRyu,30000,2018-03-01,2018-03-09,2018.0
God Wars The Complete Legend,NIS America,Kadokawa Games,10000,2018-09-04,2019-03-17,2018.0
Root Letter,PQube,Kadokawa Games,30000,2016-11-10,2018-09-20,2016.0
Death Mark,Aksys Games,Experience Inc.,0,2018-10-31,2019-03-17,2018.0
Steins;Gate Elite,Spike Chunsoft,5pb. Inc.,30000,2019-02-19,2018-11-06,2019.0
Akogare Girls Collection: Wan Nyan Doubutsu Byouin - Suteki na Juui-San ni Narou!,Nippon Columbia,Nippon Columbia,30000,2015-07-30,2018-08-06,2015.0
Death MarkRead the review,Experience Inc.,Experience Inc.,30000,2017-06-01,2019-03-17,2017.0
The Legend of Heroes: Sen no Kiseki: Kai -Thors Military Academy 1204-,Nihon Falcom Corporation,Nihon Falcom Corporation,30000,2018-03-08,2018-03-25,2018.0
Omega Quintet,Compile Heart,Compile Heart,20000,2015-04-28,2019-01-02,2015.0
Mary Skelter: Nightmares 2Read the review,Compile Heart,Compile Heart,30000,2018-07-12,2018-07-20,2018.0
Dynasty Warriors: Eiketsuden,Tecmo Koei,Omega Force,20000,2016-08-03,2018-04-24,2016.0
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,Namco Bandai Games,Bandai Namco Games,20000,2016-01-28,2018-09-20,2016.0
The Longest 5 Minutes,NIS America,Nippon Ichi Software,20000,2018-02-13,2018-01-11,2018.0
Otoko Yukaku,D3Publisher,D3 Publisher,20000,2015-02-19,2019-05-02,2015.0
Zanki Zero: Last Beginning,Spike Chunsoft,Lancarse,20000,2018-07-05,2018-04-27,2018.0
Lost Sphear,Square Enix,Tokyo RPG Factory,20000,2018-01-23,2018-07-19,2018.0
Osomatsu-San: Matsu Matsuri!,Namco Bandai Games,Bandai Namco Games,20000,2016-12-22,2018-07-25,2016.0
Taishou x Alice: All in One,Prototype,Prototype,20000,2016-06-02,2019-03-22,2016.0
