Title,Publisher,Developer,NA Sales,Release Date,Last Update,Year
Deus Ex: Mankind Divided,Square Enix,Eidos Montreal,720000,2016-08-23,2018-01-18,2016.0
Astro Bot Rescue Mission,Sony Interactive Entertainment,SIE Japan Studio,710000,2018-10-02,2018-09-17,2018.0
Mario & Sonic at the Rio 2016 Olympic Games,Nintendo,Arzest,700000,2016-03-18,2018-04-05,2016.0
Marvel vs. Capcom: InfiniteRead the review,Capcom,Capcom,700000,2017-09-19,2018-05-19,2017.0
Monster Hunter Stories,Capcom,Marvelous,700000,2017-09-08,2018-05-23,2017.0
Rocksmith 2014,Ubisoft,Ubisoft San Francisco,700000,2016-10-04,2018-03-08,2016.0
Fortnite,Warner Bros. Interactive Entertainment,Epic Games,690000,2018-11-16,2018-06-18,2018.0
Mario Party: The Top 100,Nintendo,"Nd Cube Co., Ltd.",690000,2017-11-10,2020-08-04,2017.0
Rayman Legends,Ubisoft,Ubisoft Montpellier,690000,2017-09-12,2019-01-02,2017.0
F1 2015,Codemasters,Codemasters Birmingham,680000,2015-07-21,2018-05-23,2015.0
Rocksmith 2014,Ubisoft,Ubisoft San Francisco,670000,2016-10-04,2018-03-08,2016.0
Diablo III: Eternal CollectionRead the review,Blizzard Entertainment,Blizzard Entertainment,670000,2018-11-02,2018-09-13,2018.0
LEGO Marvel Super Heroes 2,Warner Bros. Interactive Entertainment,Traveller's Tales,670000,2017-11-14,2018-02-11,2017.0
Evolve,2K Games,Turtle Rock Studios,670000,2015-02-10,2018-05-10,2015.0
Spyro Reignited Trilogy,Activision,Toys for Bob,650000,2018-11-13,2018-04-08,2018.0
Dead or Alive 5,Tecmo Koei,Team Ninja,650000,2015-02-17,2018-01-23,2015.0
Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,650000,2018-06-29,2018-11-07,2018.0
Dragon Quest Monsters Joker 3,Square Enix,TOSE,650000,2016-03-24,2018-01-07,2016.0
Yakuza Zero,Sega,Sega,650000,2017-01-24,2018-01-26,2017.0
LEGO Dimensions,Warner Bros. Interactive Entertainment,Traveller's Tales,650000,2015-09-27,2018-03-19,2015.0
LEGO City Undercover,Warner Bros. Interactive Entertainment,TT Fusion,650000,2017-04-04,2018-02-24,2017.0
One Piece: Burning Blood,Namco Bandai Games,Spike Chunsoft,650000,2016-05-31,2018-05-23,2016.0
Batman: Return to Arkham,Warner Bros. Interactive Entertainment,Rocksteady Studios,640000,2016-10-18,2018-06-10,2016.0
WWE 2K16,Take-Two Interactive,Yuke's,630000,2015-10-27,2018-04-11,2015.0
LEGO The Incredibles,Warner Bros. Interactive Entertainment,Traveller's Tales,630000,2018-06-15,2018-11-06,2018.0
Plants vs. Zombies: Garden Warfare 2,Electronic Arts,PopCap Games,630000,2016-02-23,2018-05-23,2016.0
World of Final Fantasy,Square Enix,Square Enix,620000,2016-10-25,2018-05-23,2016.0
South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,620000,2017-10-17,2018-04-06,2017.0
F1 2017,Deep Silver,Codemasters,620000,2017-08-25,2018-05-23,2017.0
Knowledge is Power,Sony Interactive Entertainment,Wish Studio,610000,2017-10-24,2018-04-07,2017.0
EA Sports UFC 2,EA Sports,EA Canada,610000,2016-03-15,2018-04-20,2016.0
L.A. Noire,Rockstar Games,Team Bondi,600000,2017-11-14,2018-06-19,2017.0
Just Dance 2016,Ubisoft,Ubisoft Paris,600000,2015-10-20,2018-04-05,2015.0
Skylanders: SuperChargers,Activision,Vicarious Visions,590000,2015-09-20,2018-04-06,2015.0
Hidden Agenda,Sony Interactive Entertainment,Supermassive Games Ltd.,590000,2017-10-24,2018-09-24,2017.0
Final Fantasy Explorers,Square Enix,Square Enix,590000,2016-01-26,2018-01-08,2016.0
Call of Duty: Modern Warfare Remastered,Activision,Infinity Ward,580000,2017-06-27,2018-01-14,2017.0
Dragon Quest Builders: Revive Alefgard,Square Enix,Square Enix,580000,2016-10-11,2018-01-11,2016.0
LEGO Worlds,Warner Bros. Interactive Entertainment,Traveller's Tales,580000,2017-09-05,2018-02-25,2017.0
Farming Simulator 19,Focus Home Interactive,Giants Software,580000,2018-11-20,2018-12-19,2018.0
Kirby and the Rainbow Curse,Nintendo,HAL Laboratory,580000,2015-02-20,2018-03-20,2015.0
Disney Magic World 2,Nintendo,High Horse Entertainment,580000,2016-10-14,2018-01-08,2016.0
The Lego Ninjago Movie Videogame,Warner Bros. Interactive Entertainment,Traveller's Tales,570000,2017-09-22,2018-05-29,2017.0
Yokai Sangokushi,Level 5,Level 5,570000,2016-04-02,2018-01-08,2016.0
Resident Evil: Revelations 2,Capcom,Capcom,570000,2015-02-24,2018-04-15,2015.0
LEGO Marvel Super Heroes 2Read the review,Warner Bros. Interactive Entertainment,Traveller's Tales,570000,2017-11-14,2018-02-11,2017.0
Ultra Street Fighter II: The Final Challengers,Capcom,Capcom,570000,2017-05-26,2018-01-04,2017.0
StarCraft II: Legacy of the Void,Blizzard Entertainment,Blizzard Entertainment,570000,2015-11-10,2018-06-25,2015.0
Rock Band 4,Harmonix Music Systems,Harmonix Music Systems,570000,2015-10-06,2018-05-23,2015.0
WWE 2K17,2K Games,Yuke's,570000,2016-10-11,2018-04-05,2016.0
Starlink: Battle for Atlas,Ubisoft,Ubisoft Toronto,570000,2018-10-16,2019-03-22,2018.0
LEGO Jurassic WorldRead the review,Warner Bros. Interactive Entertainment,Traveller's Tales,570000,2015-06-12,2018-04-06,2015.0
Everybody's Golf,Sony Interactive Entertainment,Clap Hanz,560000,2017-08-29,2018-09-23,2017.0
