Title,Publisher,Developer,Total Sales,Release Date,Last Update,Year
Crash Bandicoot 4: It's About Time,Activision,Toys for Bob,5000000,2020-10-02,2020-10-30,2020.0
Cyberpunk 2077: Phantom Liberty,CD Projekt Red Studio,CD Projekt Red Studio,5000000,2023-09-26,2023-10-05,2023.0
Dead by Daylight,Behaviour Interactive,Behaviour Interactive,5000000,2016-06-14,2021-02-08,2016.0
Death Stranding,Sony Interactive Entertainment,Kojima Productions,5000000,2019-11-08,2021-07-26,2019.0
Diablo II: Resurrected,Blizzard Entertainment,Vicarious Visions,5000000,2021-09-23,2022-04-17,2021.0
Dying Light 2 Stay Human,Techland,Techland,5000000,2022-02-04,2022-04-22,2022.0
Elden Ring: Shadow of the Erdtree,Bandai Namco Entertainment,From Software,5000000,2024-06-20,2024-06-27,2024.0
Final Fantasy VII RemakeRead the review,Square Enix,Square Enix,5000000,2020-04-10,2020-08-05,2020.0
Halo 5: GuardiansRead the review,Microsoft Studios,343 Industries,5000000,2015-10-27,2018-03-24,2015.0
Kerbal Space Program,Private Division,Squad,5000000,2015-04-27,2020-02-06,2015.0
Kerbal Space Program,Private Division,Squad,5000000,2015-04-27,2021-01-10,2015.0
Sea of ThievesRead the review,Microsoft Studios,Rare Ltd.,5000000,2018-03-20,2018-10-01,2018.0
Sea of Thieves,Xbox Game Studios,Rare Ltd.,5000000,2018-03-20,2024-05-04,2018.0
Slime Rancher,Monomi Park,Monomi Park,5000000,2017-08-01,2022-01-15,2017.0
The Long Dark,Hinterland Studio Inc.,Hinterland Studio Inc.,5000000,2017-08-01,2021-02-18,2017.0
The Outer Worlds,Private Division,Obsidian Entertainment,5000000,2019-10-25,2020-02-06,2019.0
The Outer Worlds,Private Division,Obsidian Entertainment,5000000,2019-10-25,2020-10-10,2019.0
SplatoonRead the review,Nintendo,Nintendo EAD,4950000,2015-05-29,2020-08-03,2015.0
The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,4700000,2015-05-19,2018-03-24,2015.0
Clubhouse Games: 51 Worldwide ClassicsRead the review,Nintendo,Nintendo,4640000,2020-06-05,2020-04-07,2020.0
